count,message,machine_translation,case_date
200,Этот материал заблокирован на территории РФ на основании решения суда (Тюменский районный суд - Тюменская область) от 03.02.2017 № 2-495/2017,This material is blocked on the territory of the Russian Federation on the basis of a court decision (Tyumen District Court - Tyumen region) from 03.02.2017 № 2-495/2017,"Feb 3, 2017"
9,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Ачинский городской суд - Красноярский край) от 18.07.2018 № 2а-2534/2018,This material is blocked on the territory of the Russian Federation based on the court decision/authorized federal executive body (Achinsk City Court - Krasnoyarsk Territory) of 18.07.2018 № 2a-2534/2018,"Jul 18, 2018"
7,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Ачинский городской суд - Красноярский край) от 25.07.2018 № 2а-2718/2018,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Achinsk City Court - Krasnoyarsk Territory) dated 25.07.2018 No. 2a-2718/2018,"Jul 25, 2018"
1,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Балашихинский городской суд - Московская область) от 20.09.2021 № 2а-6121/2021,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Balashikha City Court - Moscow region) from 20.09.2021 № 2a-6121/2021,"Sep 20, 2021"
34,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Березовский районный суд - Ханты-Мансийский автономный округ - Югра) от 16.03.2020 № 2а-105/2020,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Berezovsky District Court - Khanty-Mansi Autonomous Okrug - Ugra) of 16.03.2020 № 2a-105/2020,"Mar 16, 2020"
15,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Биробиджанский районный суд Еврейской автономной области - Еврейская автономная область) от 21.09.2022 № 2а-2957/2022,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Birobidzhan District Court of the Jewish Autonomous Region - Jewish Autonomous Region) dated 21.09.2022 № 2a-2957/2022,"Sep 21, 2022"
13,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Биробиджанский районный суд Еврейской автономной области - Еврейская автономная область) от 26.05.2022 № 2а-1649/2022,This material is blocked on the territory of the Russian Federation on the basis of a court decision / authorized federal executive body (Birobidzhan District Court of the Jewish Autonomous Region - Jewish Autonomous Region) dated 26.05.2022 № 2a-1649/2022,"May 26, 2022"
23,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Вахитовский районный суд г. Казани - Республика Татарстан (Татарстан)) от 15.12.2020 № 2а-5864/2020,"This material is blocked on the territory of the Russian Federation on the basis of the court decision/authorized federal executive body (Vakhitovsky District Court of Kazan - Republic of Tatarstan (Tatarstan)) dated December 15, 2020 № 2a-5864/2020","Dec 15, 2020"
59,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Городской суд г. Лесного - Свердловская область) от 11.08.2022 № 2а-888/2022,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Lesnoy City Court - Sverdlovsk region) of 11.08.2022 № 2a-888/2022,"Aug 11, 2022"
9,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Дзержинский районный суд г. Волгограда - Волгоградская область) от 14.12.2016 № 2-20697/2016,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Dzerzhinsky District Court of Volgograd - Volgograd region) from 14.12.2016 № 2-20697/2016,"Dec 14, 2016"
3,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Дзержинский районный суд г. Перми - Пермский край) от 31.05.2022 № 2а-2665/2022,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Dzerzhinsky District Court of Perm - Perm Region) № 2a-2665/2022 dated 31.05.2022,"May 31, 2022"
1,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Дзержинский районный суд - Санкт-Петербург) от 18.04.2022 № 2а-1357/2022,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Dzerzhinsky District Court - St. Petersburg) № 2a-1357/2022 dated 18.04.2022,"Apr 18, 2022"
6,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Железнодорожный районный суд г. Новосибирска - Новосибирская область) от 07.08.2018 № 2а-2483/18,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Zheleznodorozhny District Court of Novosibirsk - Novosibirsk region) dated 07.08.2018 № 2a-2483/18,"Aug 7, 2018"
2,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Железнодорожный районный суд г. Новосибирска - Новосибирская область) от 16.03.2021 № 2а-1087/21,This material is blocked on the territory of the Russian Federation on the basis of the court decision / authorized federal executive body (Zheleznodorozhny District Court of Novosibirsk - Novosibirsk region) from 16.03.2021 № 2a-1087/21,"Mar 16, 2021"
1,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Зуевский районный суд - Кировская область) от 10.02.2022 № 2а-49/2022,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Zuevsky District Court - Kirov region) № 2a-49/2022 dated 10.02.2022,"Feb 10, 2022"
3,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Каспийский городской суд - Республика Дагестан) от 08.04.2022 № 2а-1102/2022,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Kaspi City Court - Republic of Dagestan) from 08.04.2022 № 2a-1102/2022,"Apr 8, 2022"
1,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Коломенский городской суд - Московская область) от 11.06.2021 № 2а-1576 М/2021,This material is blocked on the territory of the Russian Federation on the basis of a court decision / authorized federal executive body (Kolomna City Court - Moscow region) from 11.06.2021 № 2a-1576 M/2021,"Jun 11, 2021"
1,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Лазаревский районный суд г. Сочи - Краснодарский край) от 07.09.2020 № 2а-1735/2020,This material is blocked on the territory of the Russian Federation based on the court decision/authorized federal executive body (Lazarevsky District Court of Sochi - Krasnodar Territory) № 2a-1735/2020 of 07.09.2020,"Sep 7, 2020"
1604,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Ленинский районный суд г. Кирова - Кировская область) от 17.07.2020 № 2а-2939/2020,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Leninsky District Court of Kirov city - Kirov region) of 17.07.2020 № 2a-2939/2020,"Jul 17, 2020"
75,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Ленинский районный суд г. Кирова - Кировская область) от 27.07.2020 № 2а-3100/2020,This material is blocked on the territory of the Russian Federation on the basis of the decision of the court/authorized federal executive body (Leninsky District Court of Kirov city - Kirov region) from 27.07.2020 № 2a-3100/2020,"Jul 27, 2020"
449,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Ленинский районный суд г. Курска - Курская область) от 10.06.2019 № 2а-4613/13-2019,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Leninsky District Court of Kursk - Kursk region) from 10.06.2019 № 2a-4613/13-2019,"Jun 10, 2019"
14,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Ленинский районный суд г. Курска - Курская область) от 17.04.2019 № 2а-3414/28-2019,This material is blocked on the territory of the Russian Federation based on the court decision/authorized federal executive body (Leninsky District Court of Kursk - Kursk region) from 17.04.2019 № 2a-3414/28-2019,"Apr 17, 2019"
1,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Ленинский районный суд г. Курска - Курская область) от 28.06.2019 № 2а-5131/27-2019,This material is blocked on the territory of the Russian Federation based on the court decision/authorized federal executive body (Leninsky District Court of Kursk - Kursk region) from 28.06.2019 № 2a-5131/27-2019,"Jun 28, 2019"
2,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Металлургический районный суд г. Челябинска - Челябинская область) от 11.12.2019 № 2а-3052/2019 Комментарий ВКонтакте: vk.com/press/blocking-public38905640,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Metallurgical District Court of Chelyabinsk - Chelyabinsk region) from 11.12.2019 № 2a-3052/2019Comment on VKontakte: vk.com/press/blocking-public38905640,"Dec 11, 2019"
5,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Нерчинский районный суд - Забайкальский край) от 23.03.2022 № 2а-241/2022,This material was blocked on the territory of the Russian Federation based on the court decision / authorized federal executive body (Nerchinsky District Court - Transbaikal Territory) № 2a-241/2022 dated 23.03.2022,"Mar 23, 2022"
28,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Первомайский районный суд г. Краснодара - Краснодарский край) от 25.01.2021 № 2а-1840/2021,This material is blocked on the territory of the Russian Federation on the basis of the court decision / authorized federal executive body (Pervomaisky District Court of Krasnodar - Krasnodar region) from 25.01.2021 № 2a-1840/2021,"Jan 25, 2021"
15,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Промышленный районный суд г. Ставрополя - Ставропольский край) от 22.04.2019 № 2а-2252/19,This material is blocked on the territory of the Russian Federation on the basis of the decision of the court/authorized federal executive body (Industrial District Court of Stavropol - Stavropol Territory) dated 22.04.2019 № 2a-2252/19,"Apr 22, 2019"
40,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Старорусский районный суд - Новгородская область) от 21.06.2022 № 13а-382/2022,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Starorussky District Court - Novgorod region) № 13a-382/2022 dated 21.06.2022,"Jun 21, 2022"
1,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Усть-Кутский городской суд - Иркутская область) от 18.02.2021 № 2а-228/2021,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Ust-Kut City Court - Irkutsk region) of 18.02.2021 № 2a-228/2021,"Feb 18, 2021"
5,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Центральный районный суд г. Барнаула - Алтайский край) от 15.10.2021 № 2а-5400/2021,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Central District Court of Barnaul - Altai Territory) № 2a-5400/2021 from 15.10.2021,"Oct 15, 2021"
15,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Центральный районный суд г. Калининграда - Калининградская область) от 14.09.2021 № 2а-4940/2021,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Central District Court of Kaliningrad - Kaliningrad region) of 14.09.2021 № 2a-4940/2021,"Sep 14, 2021"
3,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Центральный районный суд г. Калининграда - Калининградская область) от 26.04.2019 № 2а-2928/2019,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Central District Court of Kaliningrad - Kaliningrad region) from 26.04.2019 № 2a-2928/2019,"Apr 26, 2019"
7,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Центральный районный суд г. Красноярска - Красноярский край) от 22.09.2022 № 2а-6717/2022,This material is blocked on the territory of the Russian Federation by the court/authorized federal executive body (Central District Court of Krasnoyarsk - Krasnoyarsk krai) of 22.09.2022 № 2a-6717/2022,"Sep 22, 2022"
1,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Центральный районный суд г. Красноярска - Красноярский край) от 29.05.2020 № 2а-4174/2020,This material is blocked on the territory of the Russian Federation by the court decision/authorized federal executive body (Krasnoyarsk Central District Court - Krasnoyarsk Territory) of 29.05.2020 № 2a-4174/2020,"May 29, 2020"
1,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Центральный районный суд г. Сочи - Краснодарский край) от 21.10.2021 № 2а-6121/2021,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Central District Court of Sochi - Krasnodar Territory) № 2a-6121/2021 dated 21.10.2021,"Oct 21, 2021"
15,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Центральный районный суд г. Сочи - Краснодарский край) от 23.11.2021 № 2а-5968/2021,This material is blocked on the territory of the Russian Federation on the basis of the decision of the court/authorized federal executive body (Central District Court of Sochi - Krasnodar Territory) № 2a-5968/2021 dated 23.11.2021,"Nov 23, 2021"
417,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Центральный районный суд г. Хабаровска - Хабаровский край) от 10.08.2015 № 2-5951/2015,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Central District Court of Khabarovsk - Khabarovsk Territory) dated 10.08.2015 № 2-5951/2015,"Aug 10, 2015"
4,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Центральный районный суд г. Челябинска - Челябинская область) от 25.05.2018 № 2а-3914/2018,This material is blocked on the territory of the Russian Federation based on the decision of the court/authorized federal executive body (Central District Court of Chelyabinsk - Chelyabinsk region) dated 25.05.2018 № 2a-3914/2018,"May 25, 2018"
13,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Центральный районный суд г. Читы - Забайкальский край) от 04.03.2022 № М-1261/2022,This material is blocked on the territory of the Russian Federation on the basis of the court decision / authorized federal executive body (Central District Court of Chita - Transbaikal Territory) dated 04.03.2022 № M-1261/2022,"Mar 4, 2022"
5,Этот материал заблокирован на территории РФ на основании решения суда/уполномоченного федерального органа исполнительной власти (Центральный районный суд г. Читы - Забайкальский край) от 10.04.2019 № 2а-2442/2019,This material is blocked on the territory of the Russian Federation on the basis of the court decision/authorized federal executive body (Central District Court of Chita - Trans-Baikal Territory) dated 10.04.2019 № 2a-2442/2019,"Apr 10, 2019"
59,Этот материал заблокирован на территории РФ на основании решения суда (Центральный районный суд города Читы) от 12.10.2015 № 2-7014/2015,This material is blocked on the territory of the Russian Federation on the basis of a court decision (Central District Court of Chita) dated 12.10.2015 № 2-7014/2015,"Oct 12, 2015"
20,Этот материал заблокирован на территории РФ на основании решения Федеральной службы по надзору в сфере здравоохранения от 01.02.2023 № 2023-02-01-141-ПЛ,This material is blocked on the territory of the Russian Federation on the basis of the decision of the Federal Service for Supervision of Health on 01.02.2023 № 2023-02-01-141-PL,"Feb 1, 2023"
14,Этот материал заблокирован на территории РФ на основании решения Федеральной службы по надзору в сфере здравоохранения от 04.08.2021 № 2021-08-03-3859-ПЛ,This material is blocked on the territory of the Russian Federation based on the decision № 2021-08-03-3859-PL of the Federal Service for Supervision of Health Care dated 04.08.2021,"Aug 4, 2021"
3,Этот материал заблокирован на территории РФ на основании решения Федеральной службы по надзору в сфере здравоохранения от 18.01.2022 № 2022-01-17-3819-ПЛ,This material is blocked on the territory of the Russian Federation on the basis of the decision of the Federal Service for Supervision of Health Care dated 18.01.2022 № 2022-01-17-3819-PL,"Jan 18, 2022"
1,Этот материал заблокирован на территории РФ на основании решения Федеральной службы по надзору в сфере здравоохранения от 18.01.2022 № 2022-01-17-3826-ПЛ,This material is blocked on the territory of the Russian Federation on the basis of the decision of the Federal Service for Supervision of Health Care dated 18.01.2022 № 2022-01-17-3826-PL,"Jan 18, 2022"
24,"Этот материал заблокирован на территории РФ на основании решения Федеральной службы по надзору в сфере связи, массовых коммуникаций и информационных технологий от 06.10.2017 № 316865","This material is blocked on the territory of the Russian Federation on the basis of the decision of the Federal Service for Supervision of Communications, Mass Media and Information Technology dated 06.10.2017 № 316865","Oct 6, 2017"
1,"Этот материал заблокирован на территории РФ на основании решения Федеральной службы по надзору в сфере связи, массовых коммуникаций и информационных технологий от 28.03.2018 № 410572","This material is blocked on the territory of the Russian Federation on the basis of the decision of the Federal Service for Supervision of Communications, Mass Media and Information Technology from 28.03.2018 № 410572","Mar 28, 2018"
22,Этот материал заблокирован на территории РФ на основании решения ФНС от 03.05.2017 № 2-6-20/2017-04-28-58-АИ,This material is blocked on the territory of the Russian Federation on the basis of the decision of the Federal Tax Service dated 03.05.2017 № 2-6-20/2017-04-28-58-AI,"May 3, 2017"
9,Этот материал заблокирован на территории РФ на основании решения ФНС от 22.06.2016 № 2-6-27/ 2016-06-21-30-АИ,This material is blocked on the territory of the Russian Federation on the basis of the decision of the Federal Tax Service dated 22.06.2016 № 2-6-27 / 2016-06-21-30-AI,"Jun 22, 2016"
1,Этот материал заблокирован на территории РФ на основании решения ФНС от 22.09.2016 № 2-6-27/2016-07-28-56-АИ,This material is blocked on the territory of the Russian Federation on the basis of the decision of the Federal Tax Service dated 22.09.2016 № 2-6-27/2016-07-28-56-AI,"Sep 22, 2016"
1,Этот материал заблокирован на территории РФ на основании решения ФНС от 30.06.2016 № 2-6-27 2016-06-28-4-АИ,This material is blocked on the territory of the Russian Federation on the basis of the decision of the Federal Tax Service dated 30.06.2016 № 2-6-27 2016-06-28-4-AI,"Jun 30, 2016"
1,Этот материал заблокирован на территории РФ на основании решения Центрального районного суда города Хабаровска от 10.08.2015 № 2-5951/2015,This material is blocked on the territory of the Russian Federation on the basis of the decision of the Central District Court of Khabarovsk on 10.08.2015 № 2-5951/2015,"Aug 10, 2015"
65,Этот материал заблокирован на территории РФ На основании требования Генерального прокурора Российской Федерации или его заместителя о принятии мер по ограничению доступа к информационным ресурсам от 01.04.2022 № 27-31-2022/Ид4289-22,"This material has been blocked on the territory of the Russian Federation Based on the request of the Prosecutor General of the Russian Federation or his deputy to take measures to restrict access to information resources dated April 1, 2022 № 27-31-2022/Id4289-22","Apr 1, 2022"
2,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры № 27-31-2023/Треб171-23 от 19.04.2023,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office № 27-31-2023/Treb171-23 of 19.04.2023,"Apr 19, 2023"
2,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры № 27-31-2023/Треб185-23 от 24.04.2023,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office № 27-31-2023/Treb185-23 of 24.04.2023,"Apr 24, 2023"
5,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры № 27-31-2023/Треб193-23 от 28.04.2023,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office № 27-31-2023/Treb193-23 of 28.04.2023,"Apr 28, 2023"
132,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры № 27-31-2023/Треб197-23 от 28.04.2023,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office № 27-31-2023/Treb197-23 of 28.04.2023,"Apr 28, 2023"
25,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-27-2014/Ид1137-14 от 10.04.2014,This material is blocked on the territory of the Russian Federation based on the request of the Prosecutor General's Office of the Russian Federation № 27-27-2014/Id1137-14 of 10.04.2014,"Apr 10, 2014"
1,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-27-2014/Ид2926-14 от 01.09.2014,This material was blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-27-2014/Id2926-14 of 01.09.2014,"Sep 1, 2014"
13,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-27-2014 от 02.03.2014,This material is blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation № 27-27-2014 from 02.03.2014,"Mar 2, 2014"
187,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-27-2015/Ид39-15 от 14.01.2015,This material was blocked on the territory of the Russian Federation on the basis of the request of the Prosecutor General's Office of the Russian Federation № 27-27-2015/Id39-15 of 14.01.2015,"Jan 14, 2015"
844,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид10436-22 от 26.07.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id10436-22 of 26.07.2022,"Jul 26, 2022"
958,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид10499-22 от 29.07.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id10499-22 of 29.07.2022,"Jul 29, 2022"
1432,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид10694-22 от 01.08.2022,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id10694-22 of 01.08.2022,"Aug 1, 2022"
89,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид10743-22 от 02.08.2022,This material is blocked on the territory of the Russian Federation on the basis of the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id10743-22 of 02.08.2022,"Aug 2, 2022"
4,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид10847-22 от 03.08.2022,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id10847-22 of 03.08.2022,"Aug 3, 2022"
16,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид11254-22 от 14.08.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id11254-22 of 14.08.2022,"Aug 14, 2022"
909,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид13321-22 от 23.09.2022,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id13321-22 of 23.09.2022,"Sep 23, 2022"
77,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид14252-22 от 10.10.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id14252-22 dated 10.10.2022,"Oct 10, 2022"
131,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид14377-22 от 12.10.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id14377-22 dated 12.10.2022,"Oct 12, 2022"
8,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид14610-22 от 14.10.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id14610-22 of 14.10.2022,"Oct 14, 2022"
9,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид14764-22 от 19.10.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id14764-22 of 19.10.2022,"Oct 19, 2022"
16,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид14807-22 от 19.10.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id14807-22 of 19.10.2022,"Oct 19, 2022"
3,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид14903-22 от 21.10.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id14903-22 of 21.10.2022,"Oct 21, 2022"
3,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид14951-22 от 21.10.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id14951-22 of 21.10.2022,"Oct 21, 2022"
17,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид14982-22 от 21.10.2022,This material is blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id14982-22 of 21.10.2022,"Oct 21, 2022"
11,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид15091-22 от 25.10.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id15091-22 of 25.10.2022,"Oct 25, 2022"
2,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид15461-22 от 28.10.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id15461-22 of 28.10.2022,"Oct 28, 2022"
38,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации № 27-31-2022/Ид18813-22 от 26.12.2022,This material has been blocked on the territory of the Russian Federation based on the request of the General Prosecutor's Office of the Russian Federation № 27-31-2022/Id18813-22 of 26.12.2022,"Dec 26, 2022"
